owner,name,url,description,run_count,created_at,visibility,github_url,paper_url,license_url
fofr,live-portrait,https://replicate.com/fofr/live-portrait,Portrait animation using a driving video source,83933,2024-07-08T10:03:11.595918Z,public,https://github.com/fofr/cog-comfyui-liveportrait,https://arxiv.org/pdf/2407.03168,https://github.com/fofr/cog-comfyui-liveportrait/blob/main/LICENSE
mbukerepo,live-portrait,https://replicate.com/mbukerepo/live-portrait,Efficient Portrait Animation with Stitching and Retargeting Control,1246,2024-07-06T10:49:28.978903Z,public,https://github.com/mbukeRepo/LivePortrait,https://arxiv.org/pdf/2407.03168,https://github.com/mbukeRepo/LivePortrait/blob/main/LICENSE
charlesmccarthy,kolors,https://replicate.com/charlesmccarthy/kolors,Kolors is a SOTA base image model for high quality image generation,1242,2024-07-08T00:43:36.689134Z,public,https://github.com/Kwai-Kolors/Kolors,,https://github.com/Kwai-Kolors/Kolors/blob/master/LICENSE
ramgendeploy,sd_aicham,https://replicate.com/ramgendeploy/sd_aicham,,15,2024-07-06T21:29:48.763106Z,public,,,
charlesmccarthy,liveportrait,https://replicate.com/charlesmccarthy/liveportrait,,103,2024-07-07T17:51:53.297375Z,public,https://github.com/KwaiVGI/LivePortrait,,https://github.com/KwaiVGI/LivePortrait/blob/main/LICENSE
c-barron,sam,https://replicate.com/c-barron/sam,,82,2024-07-07T00:47:19.831548Z,public,,,
ayumuakagi,segment_anything_model,https://replicate.com/ayumuakagi/segment_anything_model,The API automatically detects objects in an input image and returns their positional and mask information.,4246,2024-07-05T09:38:25.718655Z,public,https://github.com/facebookresearch/segment-anything,https://arxiv.org/abs/2304.02643,https://github.com/facebookresearch/segment-anything/blob/main/LICENSE
ardianfe,music-gen-fn-200e,https://replicate.com/ardianfe/music-gen-fn-200e,Create music for your content,911664,2024-07-04T22:45:17.835117Z,public,,,
anotherjesse,kandisky-clip-sae,https://replicate.com/anotherjesse/kandisky-clip-sae,,393,2024-07-04T16:46:50.785592Z,public,,,
galverse,mama-v2,https://replicate.com/galverse/mama-v2,Mama ママ 2.0 Shinsei Galverse Anime-themed text-to-image model,2645,2024-04-18T04:08:47.807751Z,public,,,
lucataco,internlm2_5-7b-chat,https://replicate.com/lucataco/internlm2_5-7b-chat,InternLM2.5 has open-sourced a 7 billion parameter base model and a chat model tailored for practical scenarios.,61,2024-07-04T00:59:45.857717Z,public,,https://arxiv.org/abs/2403.17297,https://huggingface.co/models?license=license:other
anotherjesse,amy-tattoo-test-1,https://replicate.com/anotherjesse/amy-tattoo-test-1,,10495,2024-07-03T21:07:22.722662Z,public,,,
fofr,tooncrafter,https://replicate.com/fofr/tooncrafter,Create videos from illustrated input images,59164,2024-06-02T21:29:15.300292Z,public,https://github.com/fofr/cog-comfyui-tooncrafter,https://doubiiu.github.io/projects/ToonCrafter/,https://github.com/fofr/cog-comfyui-tooncrafter/blob/main/LICENSE
lorenzomarines,nucleum-nano-30b,https://replicate.com/lorenzomarines/nucleum-nano-30b,,24,2024-07-02T23:04:38.156243Z,public,,,
microsoft,phi-3-mini-4k-instruct,https://replicate.com/microsoft/phi-3-mini-4k-instruct,"Phi-3-Mini-4K-Instruct is a 3.8B parameters, lightweight, state-of-the-art open model trained with the Phi-3 datasets",100782,2024-04-24T19:53:04.314138Z,public,https://github.com/lucataco/cog-phi-3-mini-4k-instruct,,https://choosealicense.com/licenses/mit/
lucataco,qwen2-57b-a14b-instruct,https://replicate.com/lucataco/qwen2-57b-a14b-instruct,"Qwen2 57 billion parameter language model from Alibaba Cloud, fine tuned for chat completions",1413,2024-07-02T14:33:43.412552Z,public,,https://arxiv.org/abs/2309.00071,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/apache-2.0.md
superhighfives,birds-and-flowers,https://replicate.com/superhighfives/birds-and-flowers,SDXL fine-tune based on images of birds primarily from the British Library free archive,49,2024-07-02T10:32:49.546489Z,public,,,
