owner,name,url,description,run_count,created_at,visibility,github_url,paper_url,license_url
anthropic,claude-4.5-sonnet,https://replicate.com/anthropic/claude-4.5-sonnet,"Claude Sonnet 4.5 is the best coding model to date, with significant improvements across the entire development lifecycle",8,2025-09-29T20:46:51.550751Z,public,,,
andyx1976,trkgys,https://replicate.com/andyx1976/trkgys,,423,2025-03-30T17:40:05.615185Z,public,,,
ldecarmine,lendecarmine-replicate,https://replicate.com/ldecarmine/lendecarmine-replicate,AI Avatar Clone,34,2025-07-22T21:52:27.638895Z,public,,,
runwayml,gen4-image-turbo,https://replicate.com/runwayml/gen4-image-turbo,"Gen-4 Image Turbo is cheaper and 2.5x faster than Gen-4 Image. An image model with references, use up to 3 reference images to create the exact image you need. Capture every angle.",45757,2025-08-11T10:03:42.385155Z,public,,,
codingdudecom,flux-kontext-stencil-lora,https://replicate.com/codingdudecom/flux-kontext-stencil-lora,,13,2025-09-29T17:25:29.300371Z,public,,,
mirelo,video-to-sfx,https://replicate.com/mirelo/video-to-sfx,"Generate synced sounds for any video, and return it with its new sound track",829,2025-09-17T07:59:16.196590Z,public,,,
pixverse,pixverse-v4.5,https://replicate.com/pixverse/pixverse-v4.5,"Quickly make 5s or 8s videos at 540p, 720p or 1080p. It has enhanced motion, prompt coherence and handles complex actions well.",162089,2025-05-15T17:27:50.189392Z,public,,,https://docs.pixverse.ai/PixVerse-Platform-Terms-of-Service-1773e99bf35080c6a802fae0e3629708
paragekbote,gemma3-torchao-quant-sparse,https://replicate.com/paragekbote/gemma3-torchao-quant-sparse,"An optimized gemma-3-4b setup with INT8 weight-only quantization, torch_compile and sparsity for efficient inference.",14,2025-09-09T18:00:22.087434Z,public,,,
luma,reframe-image,https://replicate.com/luma/reframe-image,Change the aspect ratio of any photo using AI (not cropping),37342,2025-06-12T04:16:09.092317Z,public,,,
pixverse,pixverse-v4,https://replicate.com/pixverse/pixverse-v4,"Quickly generate smooth 5s or 8s videos at 540p, 720p or 1080p",28959,2025-05-07T12:39:01.063365Z,public,,,https://docs.pixverse.ai/PixVerse-Platform-Terms-of-Service-1773e99bf35080c6a802fae0e3629708
google,imagen-3,https://replicate.com/google/imagen-3,"Google's highest quality text-to-image model, capable of generating images with detail, rich lighting and beauty",1594392,2025-02-05T12:56:07.610594Z,public,,https://deepmind.google/technologies/imagen-3/,
powerpdw,autovid-chibi,https://replicate.com/powerpdw/autovid-chibi,A LoRA fine-tuned model for generating cute anime-style images.,6,2025-09-29T12:09:24.717882Z,public,,,
sai88uk,openpose-skeleton-detector-v2,https://replicate.com/sai88uk/openpose-skeleton-detector-v2,"Generate pose skeleton detection with face and hand keypoints from any photo using ControlNet OpenPose. Returns a colorful skeleton visualization on black background with body keypoints (25 points), face keypoints (70 points), and hand keypoints (21 point",4,2025-09-29T13:36:33.837462Z,public,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,https://www.apache.org/licenses/LICENSE-2.0
bytedance,seedance-1-pro,https://replicate.com/bytedance/seedance-1-pro,"A pro version of Seedance that offers text-to-video and image-to-video support for 5s or 10s videos, at 480p and 1080p resolution",564066,2025-06-20T16:37:51.348474Z,public,,,
aiunivers,openpose,https://replicate.com/aiunivers/openpose,Pose estimation with OpenPose,25,2025-09-28T04:54:18.149856Z,public,,,
anon987654321,ra2,https://replicate.com/anon987654321/ra2,,29,2025-09-27T01:47:57.969270Z,public,,,
kwaivgi,kling-lip-sync,https://replicate.com/kwaivgi/kling-lip-sync,Add lip-sync to any video with an audio file or text,14865,2025-05-18T20:54:54.551885Z,public,,,
orbifolia-coder,id-sketch,https://replicate.com/orbifolia-coder/id-sketch,,32,2025-09-26T16:04:02.254972Z,public,,,
openai,gpt-5-structured,https://replicate.com/openai/gpt-5-structured,"GPT-5 with support for structured outputs, web search and custom tools",70870,2025-08-14T15:32:22.469348Z,public,,,
wan-video,wan-2.5-t2v-fast,https://replicate.com/wan-video/wan-2.5-t2v-fast,"Wan 2.5 text-to-video, optimized for speed",1099,2025-09-24T12:52:44.690732Z,public,,,
stability-ai,stable-diffusion-3.5-large-turbo,https://replicate.com/stability-ai/stable-diffusion-3.5-large-turbo,"A text-to-image model that generates high-resolution images with fine details. It supports various artistic styles and produces diverse outputs from the same prompt, with a focus on fewer inference steps",801162,2024-10-22T12:09:38.705615Z,public,,https://arxiv.org/abs/2403.03206,https://huggingface.co/stabilityai/stable-diffusion-3.5-large-turbo/blob/main/LICENSE.md
stability-ai,stable-diffusion-3.5-large,https://replicate.com/stability-ai/stable-diffusion-3.5-large,"A text-to-image model that generates high-resolution images with fine details. It supports various artistic styles and produces diverse outputs from the same prompt, thanks to Query-Key Normalization.",1659982,2024-10-21T20:53:39.435334Z,public,,https://arxiv.org/abs/2403.03206,https://huggingface.co/stabilityai/stable-diffusion-3.5-large/blob/main/LICENSE.md
stability-ai,stable-diffusion-3.5-medium,https://replicate.com/stability-ai/stable-diffusion-3.5-medium,2.5 billion parameter image model with improved MMDiT-X architecture,68995,2024-10-29T12:55:45.899504Z,public,,https://arxiv.org/abs/2403.03206,https://huggingface.co/stabilityai/stable-diffusion-3.5-medium/blob/main/LICENSE.md
hebhar,studioisaresidence,https://replicate.com/hebhar/studioisaresidence,RESIDENTIAL HOUSE,29,2025-09-26T08:00:21.565468Z,public,,,
drjempower360pro,drjsykes-replicate-2,https://replicate.com/drjempower360pro/drjsykes-replicate-2,,17,2025-09-22T17:33:54.700748Z,public,,,
openai,gpt-5-nano,https://replicate.com/openai/gpt-5-nano,"Fastest, most cost-effective GPT-5 model from OpenAI",58780,2025-08-07T01:46:49.288485Z,public,,,
kwaivgi,kling-v2.5-turbo-pro,https://replicate.com/kwaivgi/kling-v2.5-turbo-pro,"Kling 2.5 Turbo Pro: Unlock pro-level text-to-video and image-to-video creation with smooth motion, cinematic depth, and remarkable prompt adherence.",4645,2025-09-25T17:23:52.101994Z,public,,,
drjempower360pro,twinfluenceaidrj,https://replicate.com/drjempower360pro/twinfluenceaidrj,,39,2025-09-25T16:27:01.034032Z,public,,,
luma,reframe-video,https://replicate.com/luma/reframe-video,"Change the aspect ratio of any video up to 30 seconds long, outputs will be 720p",15160,2025-06-11T09:15:44.738573Z,public,,,
bria,expand-image,https://replicate.com/bria/expand-image,Bria Expand expands images beyond their borders in high quality. Resizing the image by generating new pixels to expand to the desired aspect ratio. Trained exclusively on licensed data for safe and risk-free commercial use,21519,2025-07-03T06:08:32.245632Z,public,,,https://learn.bria.ai/hubfs/Terms%20and%20Conditions/Bria%20AI%20Online%20Terms%20and%20Conditions%20(March%202024)%20v1.1c.pdf?hsLang=en&_gl=1*iwvu7w*_gcl_au*MzQyMzUxMzAxLjE3NDcwNDU4NTg.*_ga*MjAxNDky
bria,remove-background,https://replicate.com/bria/remove-background,Bria AI's remove background model,63519,2025-07-03T17:51:26.308094Z,public,,,
google,imagen-4,https://replicate.com/google/imagen-4,Google's Imagen 4 flagship model,4117864,2025-05-21T15:15:07.422259Z,public,,,
kwaivgi,kling-v2.1,https://replicate.com/kwaivgi/kling-v2.1,Use Kling v2.1 to generate 5s and 10s videos in 720p and 1080p resolution from a starting image (image-to-video),1900926,2025-06-19T18:53:08.443897Z,public,,,
wan-video,wan-2.2-animate-replace,https://replicate.com/wan-video/wan-2.2-animate-replace,Use Wan 2.2 Animate to replace a character in a video scene,888,2025-09-25T10:42:27.175060Z,public,,,
wan-video,wan-2.2-animate-animation,https://replicate.com/wan-video/wan-2.2-animate-animation,Use Wan 2.2 Animate to copy the motion of a video to another scene,918,2025-09-25T10:42:04.958482Z,public,,,
wan-video,wan-2.5-i2v-fast,https://replicate.com/wan-video/wan-2.5-i2v-fast,"Wan 2.5 image-to-video, optimized for speed",1563,2025-09-24T12:59:07.914368Z,public,,,
runwayml,upscale-v1,https://replicate.com/runwayml/upscale-v1,"Upscale videos by 4x, up to a maximum of 4k",5788,2025-07-22T16:20:08.063207Z,public,,,
wan-video,wan-2.5-i2v,https://replicate.com/wan-video/wan-2.5-i2v,Alibaba Wan 2.5 Image to video generation with background audio,4271,2025-09-24T12:17:35.593846Z,public,,,
andyx1976,dress_shirt,https://replicate.com/andyx1976/dress_shirt,"plain mens dress shirts, mainly done to stop Flux Krea making all shirts kind of scruffy and old, white blue checked, slim fit, w tie and withot..",32,2025-09-08T22:36:41.224890Z,public,,,
wan-video,wan-2.5-t2v,https://replicate.com/wan-video/wan-2.5-t2v,Alibaba Wan 2.5 text to video generation model,2068,2025-09-24T12:31:55.168920Z,public,,,
runwayml,gen4-aleph,https://replicate.com/runwayml/gen4-aleph,"A new way to edit, transform and generate video",17477,2025-08-05T09:25:34.423358Z,public,,https://runwayml.com/research/introducing-runway-aleph,
openai,dall-e-3,https://replicate.com/openai/dall-e-3,An AI system that can create realistic images and art from a description in natural language.,39439,2024-08-02T12:02:11.501435Z,public,,https://cdn.openai.com/papers/dall-e-3.pdf,https://openai.com/index/dall-e-3/
pixverse,pixverse-v5,https://replicate.com/pixverse/pixverse-v5,"Create 5s-8s videos with enhanced character movement, visual effects, and exclusive 1080p-8s support. Optimized for anime characters and complex actions",37329,2025-08-27T16:59:19.868043Z,public,,,
luma,ray-flash-2-720p,https://replicate.com/luma/ray-flash-2-720p,"Generate 5s and 9s 720p videos, faster and cheaper than Ray 2",35243,2025-03-13T15:48:07.817157Z,public,,,https://lumalabs.ai/dream-machine/api/terms
cozyuj,ev-car-maker,https://replicate.com/cozyuj/ev-car-maker,,8,2025-09-24T06:25:36.187355Z,public,,,
khanhnguyendylan,2dwhale-lora-branding,https://replicate.com/khanhnguyendylan/2dwhale-lora-branding,,61,2025-09-24T04:36:55.394985Z,public,,,
amrdiab568,charify-style,https://replicate.com/amrdiab568/charify-style,Generates cartoon-style characters in Charify's signature vector art look,156,2025-09-09T19:37:30.411952Z,public,,,https://creativecommons.org/licenses/by-nc/4.0/
qwen,qwen-image-edit-plus,https://replicate.com/qwen/qwen-image-edit-plus,"The latest Qwen-Image’s iteration with improved multi-image editing, single-image consistency, and native support for ControlNet",193970,2025-09-23T15:04:08.508573Z,public,,https://arxiv.org/abs/2508.02324,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/apache-2.0.md
vyroteam,imagineart-1.0,https://replicate.com/vyroteam/imagineart-1.0,"A state-of-the-art Mixture of Experts (MoE) model for generating hyper-realistic images with unmatched detail, natural lighting, and photographic authenticity.",1812,2025-09-23T11:15:53.565492Z,public,,,
hebhar,handsketch,https://replicate.com/hebhar/handsketch,Hand sketch style,36,2025-09-23T11:07:10.320773Z,public,,,
pixverse,lipsync,https://replicate.com/pixverse/lipsync,Generate realistic lipsync animations from audio for high-quality synchronization,221,2025-09-22T15:34:33.232039Z,public,,,
openai,gpt-image-1,https://replicate.com/openai/gpt-image-1,A multimodal image generation model that creates high-quality images. You need to bring your own verified OpenAI key to use this model. Your OpenAI account will be charged for usage.,539419,2025-04-23T18:43:34.958305Z,public,,https://openai.com/index/image-generation-api/,https://openai.com/policies/
kwaivgi,kling-v1.6-standard,https://replicate.com/kwaivgi/kling-v1.6-standard,Generate 5s and 10s videos in 720p resolution at 30fps,1248232,2025-01-10T11:35:26.990195Z,public,,,
kwaivgi,kling-v2.0,https://replicate.com/kwaivgi/kling-v2.0,Generate 5s and 10s videos in 720p resolution,74042,2025-04-25T10:58:06.464845Z,public,,,
bria,increase-resolution,https://replicate.com/bria/increase-resolution,Bria Increase resolution upscales the resolution of any image. It increases resolution using a dedicated upscaling method that preserves the original image content without regeneration.,13743,2025-07-03T14:23:36.831894Z,public,,,https://learn.bria.ai/hubfs/Terms%20and%20Conditions/Bria%20AI%20Online%20Terms%20and%20Conditions%20(March%202024)%20v1.1c.pdf?hsLang=en&_gl=1*iwvu7w*_gcl_au*MzQyMzUxMzAxLjE3NDcwNDU4NTg.*_ga*MjAxNDky
hebhar,studioisawater,https://replicate.com/hebhar/studioisawater,Watercolour Architecture Style,13,2025-09-22T08:23:05.573369Z,public,,,
hebhar,rajasthan,https://replicate.com/hebhar/rajasthan,Make rajasthan Architecture,22,2025-09-20T12:27:00.281498Z,public,,,
hebhar,studioisa,https://replicate.com/hebhar/studioisa,,11,2025-09-22T07:16:29.769028Z,public,,,
amkniss,mernaqua,https://replicate.com/amkniss/mernaqua,Makes mermaids,4,2025-09-15T20:39:10.233562Z,public,,,
lhungting-ship-it,id-card-nationality,https://replicate.com/lhungting-ship-it/id-card-nationality,The model identify the nationality of national ID cards,4,2025-09-21T07:54:11.057923Z,public,,,
wuzoobia,bruna-spitfire,https://replicate.com/wuzoobia/bruna-spitfire,Image generation with magazine-quality results across diverse subjects and scenarios,24,2025-09-21T04:24:08.998716Z,public,,,
wuzoobia,bruna-portrait,https://replicate.com/wuzoobia/bruna-portrait,Create stunning corporate portraits and executive headshots with photorealistic quality,31,2025-09-20T21:13:53.887991Z,public,,,
redam3rica-cell,trapbilly,https://replicate.com/redam3rica-cell/trapbilly,,4,2025-09-20T18:02:24.045949Z,public,,,
gauravpuniyani08,ponywoman,https://replicate.com/gauravpuniyani08/ponywoman,,28,2025-09-20T14:36:55.373350Z,public,,,
wuzoobia,bruna-product-mockup,https://replicate.com/wuzoobia/bruna-product-mockup,Generate high-quality product mockups and UI designs such as Software/SaaS interfaces. Mobile apps. Fashion/apparel. Electronics Home decor. Fitness equipment. Beauty products And many more,40,2025-09-20T05:48:59.111840Z,public,,,
openai,gpt-5,https://replicate.com/openai/gpt-5,"OpenAI's new model excelling at coding, writing, and reasoning.",191622,2025-08-07T01:46:29.933808Z,public,,,
bytedance,seedance-1-lite,https://replicate.com/bytedance/seedance-1-lite,"A video generation model that offers text-to-video and image-to-video support for 5s or 10s videos, at 480p and 720p resolution",1097545,2025-06-18T21:34:07.363442Z,public,,,
luma,ray,https://replicate.com/luma/ray,"Fast, high quality text-to-video and image-to-video (Also known as Dream Machine)",54168,2024-12-12T16:30:42.287210Z,public,,https://lumalabs.ai/dream-machine,https://lumalabs.ai/dream-machine/api/terms
bytedance,omni-human,https://replicate.com/bytedance/omni-human,Turns your audio/video/images into professional-quality animated videos,137304,2025-07-31T18:32:39.994922Z,public,,,
recraft-ai,recraft-remove-background,https://replicate.com/recraft-ai/recraft-remove-background,"Automated background removal for images. Tuned for AI-generated content, product photos, portraits, and design workflows",9032,2025-08-27T19:30:17.029028Z,public,,https://recraft.ai,https://recraft.ai/terms
ibm-granite,granite-3.3-8b-instruct,https://replicate.com/ibm-granite/granite-3.3-8b-instruct,Granite-3.3-8B-Instruct is a 8-billion parameter 128K context length language model fine-tuned for improved reasoning and instruction-following capabilities.,1354693,2025-04-15T16:18:31.175340Z,public,https://github.com/bjhargrave/cog-models/tree/main/ibm-granite/granite-3.3-8b-instruct,,https://www.apache.org/licenses/LICENSE-2.0
google,gemini-2.5-flash-image,https://replicate.com/google/gemini-2.5-flash-image,Google's latest image generation model in Gemini 2.5,62017,2025-08-26T15:54:48.736532Z,public,,,
google,nano-banana,https://replicate.com/google/nano-banana,Google's latest image editing model in Gemini 2.5,11541138,2025-08-26T21:08:24.983047Z,public,,,
adamnorlen,sahiri-v.1,https://replicate.com/adamnorlen/sahiri-v.1,,86,2025-09-19T08:01:10.222351Z,public,,,
olivesforge,sky,https://replicate.com/olivesforge/sky,we need more sky,246,2025-09-18T23:59:29.590383Z,public,,,
fernandafsanchez,ia,https://replicate.com/fernandafsanchez/ia,,82,2025-09-18T18:10:06.363526Z,public,,,
luma,modify-video,https://replicate.com/luma/modify-video,Modify a video with style transfer and prompt-based editing,2761,2025-07-01T09:14:35.523447Z,public,,,
fernandafsanchez,nuart,https://replicate.com/fernandafsanchez/nuart,,18,2025-09-18T17:30:33.572638Z,public,,,
vladpolbennikov,kokoro-82m-all-voices,https://replicate.com/vladpolbennikov/kokoro-82m-all-voices,"Kokoro v1.0 2025 Jan 27 - text-to-speech (82M params, based on StyleTTS2)",71,2025-09-18T15:11:38.925606Z,public,https://github.com/hexgrad/kokoro,,https://github.com/hexgrad/kokoro/blob/main/LICENSE
zsxkib,humo,https://replicate.com/zsxkib/humo,,53,2025-09-15T21:39:28.502435Z,public,,,
google,imagen-4-fast,https://replicate.com/google/imagen-4-fast,Use this fast version of Imagen 4 when speed and cost are more important than quality,961905,2025-06-12T09:24:39.272587Z,public,,,
openai,gpt-5-mini,https://replicate.com/openai/gpt-5-mini,Faster version of OpenAI's flagship GPT-5 model,94352,2025-08-07T01:46:38.852666Z,public,,,
hautechai,yolo11x-pose,https://replicate.com/hautechai/yolo11x-pose,,20,2025-09-17T14:51:17.459400Z,public,,,
luma,photon-flash,https://replicate.com/luma/photon-flash,Accelerated variant of Photon prioritizing speed while maintaining quality,167622,2024-12-05T15:18:04.364421Z,public,,,https://lumalabs.ai/dream-machine/api/terms
intelligent-utilities,html-to-image,https://replicate.com/intelligent-utilities/html-to-image,,61,2025-09-17T13:52:33.900165Z,public,,,
flux-kontext-apps,portrait-series,https://replicate.com/flux-kontext-apps/portrait-series,Create a series of portrait photos from a single image,60577,2025-05-27T19:10:05.639664Z,public,,,
hautechai,json-to-media,https://replicate.com/hautechai/json-to-media,,82,2025-07-29T11:55:26.485516Z,public,,,
topogoogles,realbanana,https://replicate.com/topogoogles/realbanana,"Generates images of a Flux-LoRA trained with 15 Flux-Kontext Images based one single real ""mother"" photo of myself",31,2025-09-17T12:23:13.020137Z,public,,,
govirtualuk,pegasus,https://replicate.com/govirtualuk/pegasus,Creates fully 360 panoramas for VR and backdrop media,399,2025-08-18T13:47:04.327071Z,public,,,
topogoogles,bananabcn,https://replicate.com/topogoogles/bananabcn,"Generates images of a Flux-LoRA trained with 15 Flux-Kontext Images based one single real ""mother"" photo of myself",18,2025-09-17T04:24:59.448026Z,public,,,
heygen,video-translate,https://replicate.com/heygen/video-translate,Translate videos into over 150 languages,400,2025-09-15T19:46:26.036746Z,public,,,
richards630620,marianna,https://replicate.com/richards630620/marianna,,11,2025-09-16T17:01:59.602223Z,public,,,
runwayml,gen4-turbo,https://replicate.com/runwayml/gen4-turbo,Generate 5s and 10s 720p videos fast,21401,2025-07-21T16:53:27.233701Z,public,,,
openai,gpt-4.1,https://replicate.com/openai/gpt-4.1,OpenAI's Flagship GPT model for complex tasks.,181761,2025-05-01T04:55:34.442201Z,public,,,https://openai.com/policies/
openai,gpt-4.1-nano,https://replicate.com/openai/gpt-4.1-nano,"Fastest, most cost-effective GPT-4.1 model from OpenAI",416152,2025-05-01T07:26:10.557033Z,public,,,https://openai.com/policies/
openai,gpt-4.1-mini,https://replicate.com/openai/gpt-4.1-mini,"Fast, affordable version of GPT-4.1",1260257,2025-05-01T06:57:43.806670Z,public,,,https://openai.com/policies/
black-forest-labs,flux-depth-pro,https://replicate.com/black-forest-labs/flux-depth-pro,Professional depth-aware image generation. Edit images while preserving spatial relationships.,249751,2024-11-21T09:53:00.631446Z,public,,,https://replicate.com/black-forest-labs/flux-depth-pro#license
minimax,image-01,https://replicate.com/minimax/image-01,"Minimax's first image model, with character reference support",1642386,2025-03-03T14:05:29.816962Z,public,,,
richards630620,vancon,https://replicate.com/richards630620/vancon,,40,2025-09-16T11:55:36.897072Z,public,,,
zylim0702,yun-3d-2.1,https://replicate.com/zylim0702/yun-3d-2.1,,97,2025-09-09T14:44:25.004589Z,public,,,
espressotechie,qwen-imgedit-4bit,https://replicate.com/espressotechie/qwen-imgedit-4bit,Qwen image edit quantized,14,2025-09-13T15:18:45.972449Z,public,,,
gitaccount529,filipino_youtube_thumbnail,https://replicate.com/gitaccount529/filipino_youtube_thumbnail,,926,2025-05-05T07:44:08.934459Z,public,,,
nemorad52742,joshwright-aiavatar,https://replicate.com/nemorad52742/joshwright-aiavatar,,7,2025-09-16T01:20:11.101409Z,public,,,
zsxkib,easyocr,https://replicate.com/zsxkib/easyocr,"Extract text with pixel coordinates from screenshots and images. GPU-accelerated, multi-language, perfect for camera-translation overlays.",86,2025-08-26T18:35:56.412659Z,public,https://github.com/zsxkib/EasyOCR,,https://github.com/zsxkib/EasyOCR/blob/main/LICENSE
lucataco,indextts-2,https://replicate.com/lucataco/indextts-2,Emotionally Expressive and Duration-Controlled Text-to-Speech,712,2025-09-15T23:26:02.314745Z,public,https://github.com/lucataco/cog-IndexTTS-2,https://arxiv.org/abs/2506.21619,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/apache-2.0.md
flux-kontext-apps,multi-image-list,https://replicate.com/flux-kontext-apps/multi-image-list,FLUX Kontext max with list input for multiple images,119541,2025-06-04T13:32:36.736547Z,public,,,
flux-kontext-apps,face-to-many-kontext,https://replicate.com/flux-kontext-apps/face-to-many-kontext,"Become a character, in style",47508,2025-06-05T12:41:23.006240Z,public,,,
sync,lipsync-2-pro,https://replicate.com/sync/lipsync-2-pro,"Studio-grade lipsync in minutes, not weeks",1461,2025-08-27T19:58:34.559850Z,public,,,
sync,lipsync-2,https://replicate.com/sync/lipsync-2,Generate realistic lipsyncs with Sync Labs' 2.0 model,4479,2025-07-15T14:19:02.814147Z,public,,,
jsterlingvids,count01,https://replicate.com/jsterlingvids/count01,,21,2025-09-15T18:08:17.193808Z,public,,,
leonardoai,lucid-origin,https://replicate.com/leonardoai/lucid-origin,"Artistic and high-quality visuals with improved prompt adherence, diversity, and definition",31029,2025-09-08T14:44:30.621933Z,public,,https://leonardo.ai/news/lucid-origin-ai-image-model/,
google,veo-3,https://replicate.com/google/veo-3,"Sound on: Google’s flagship Veo 3 text to video model, with audio",170112,2025-05-21T15:51:18.115218Z,public,,,
selmakcby,monkeymeme,https://replicate.com/selmakcby/monkeymeme,Monkey Meme LoRA A lightweight LoRA fine-tuned with Replicate’s fast-flux-trainer on a custom set of monkey memes and reaction shots. Use the trigger word MONKEY in your prompt to activate the model and generate meme-style images of monkeys in a variety o,32,2025-09-14T18:44:36.878163Z,public,,,
zylim0702,qwen-multi-view-advanced,https://replicate.com/zylim0702/qwen-multi-view-advanced,,130,2025-09-02T12:24:14.086921Z,public,,,
lhungting-ship-it,card-glare-detection,https://replicate.com/lhungting-ship-it/card-glare-detection,Detect the glare region on the card,7,2025-09-14T10:21:48.064331Z,public,,,
shreejalmaharjan-27,anime4k,https://replicate.com/shreejalmaharjan-27/anime4k,"Anime4K is a set of open-source, high-quality real-time anime upscaling/denoising algorithms that can be implemented in any programming language.",17,2025-09-14T04:29:23.880611Z,public,https://github.com/shreejalmaharjan-27/Anime4K-cog,,https://github.com/shreejalmaharjan-27/Anime4K-cog/blob/master/LICENSE
frankxai,arcanea,https://replicate.com/frankxai/arcanea,The world best model to imagine the limitless world of Arcanea,47,2025-09-13T21:03:52.748983Z,public,,,
tencent,hunyuan-image-2.1,https://replicate.com/tencent/hunyuan-image-2.1,Generate high-quality 2K resolution images from text prompts,4375,2025-09-11T15:20:36.494698Z,public,,https://hunyuan.tencent.com/image/en,https://github.com/Tencent-Hunyuan/HunyuanImage-2.1/blob/main/LICENSE
deyoyk,asian,https://replicate.com/deyoyk/asian,fund me so i can train with even more asian girls images :3 https://buymeacoffee.com/deyoyk,55,2025-09-13T11:37:58.710767Z,public,,,
black-forest-labs,flux-canny-pro,https://replicate.com/black-forest-labs/flux-canny-pro,Professional edge-guided image generation. Control structure and composition using Canny edge detection,354150,2024-11-21T09:53:08.913764Z,public,,,https://replicate.com/black-forest-labs/flux-canny-pro#license
wan-video,wan-2.2-s2v,https://replicate.com/wan-video/wan-2.2-s2v,Generate a video from an audio clip and a reference image,1508,2025-09-10T19:27:52.043213Z,public,,https://arxiv.org/abs/2508.18621,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/apache-2.0.md
minimax,music-1.5,https://replicate.com/minimax/music-1.5,Music-1.5: Full-length songs (up to 4 mins) with natural vocals & rich instrumentation,2927,2025-09-11T21:53:30.747040Z,public,,,https://www.minimax.io/platform/protocol/terms-of-service
minimax,video-01-director,https://replicate.com/minimax/video-01-director,Generate videos with specific camera movements,68974,2025-02-11T09:27:18.101204Z,public,,,
kwaivgi,kling-v1.6-pro,https://replicate.com/kwaivgi/kling-v1.6-pro,Generate 5s and 10s videos in 1080p resolution,726575,2025-01-10T11:35:13.889333Z,public,,,https://docs.qingque.cn/d/home/eZQC4FkUthNLuEMk9AgXvH-et
rvbbr56,corset-v1,https://replicate.com/rvbbr56/corset-v1,,73,2025-09-12T07:44:06.641451Z,public,,,
bytedance,seedream-4,https://replicate.com/bytedance/seedream-4,Unified text-to-image generation and precise single-sentence editing at up to 4K resolution,1272383,2025-09-09T11:23:42.672377Z,public,,,
aistudioautosystem-byte,scarycartoon.restyle,https://replicate.com/aistudioautosystem-byte/scarycartoon.restyle,,703,2025-09-12T05:33:09.661315Z,public,,,
rvbbr56,dita-v1,https://replicate.com/rvbbr56/dita-v1,,41,2025-09-12T05:25:10.345260Z,public,,,
ddvinh1,audio-lip,https://replicate.com/ddvinh1/audio-lip,,79,2025-09-11T08:47:56.299334Z,public,,,
google,imagen-4-ultra,https://replicate.com/google/imagen-4-ultra,Use this ultra version of Imagen 4 when quality matters more than speed and cost,681851,2025-05-21T16:33:09.432040Z,public,,,
google,veo-3-fast,https://replicate.com/google/veo-3-fast,"A faster and cheaper version of Google’s Veo 3 video model, with audio",66780,2025-06-18T13:48:03.517752Z,public,,,
stability-ai,stable-audio-2.5,https://replicate.com/stability-ai/stable-audio-2.5,Generate high-quality music and sound from text prompts,1071,2025-09-05T22:54:46.962638Z,public,,,https://github.com/zsxkib/cog-stability-stable-audio-2.5/blob/main/LICENSE
bria,product-shadow,https://replicate.com/bria/product-shadow,"Add consistent, customizable shadows to product cutouts for enhanced visual appeal",76,2025-09-09T15:22:10.177907Z,public,,,
bria,product-packshot,https://replicate.com/bria/product-packshot,Transform any product photo into professional 2000x2000px packshots with optimal positioning,296,2025-09-09T15:21:21.689670Z,public,,,
bria,product-cutout,https://replicate.com/bria/product-cutout,Precise AI-powered product cutout with 256-level transparency for eCommerce,64,2025-09-09T15:11:09.058661Z,public,,,
phil2703,louis7000,https://replicate.com/phil2703/louis7000,Louis Lora,14,2025-09-11T10:28:22.309766Z,public,,,
ddvinh1,image-editor-model,https://replicate.com/ddvinh1/image-editor-model,,28,2025-09-10T07:21:28.057550Z,public,,,
thayzpassos,thayzclone,https://replicate.com/thayzpassos/thayzclone,,141,2025-06-26T01:59:05.123807Z,public,,,
openai,gpt-4o,https://replicate.com/openai/gpt-4o,OpenAI's high-intelligence chat model,214680,2025-05-15T19:46:39.965430Z,public,,,https://openai.com/policies/
minimax,music-01,https://replicate.com/minimax/music-01,Quickly generate up to 1 minute of music with lyrics and vocals in the style of a reference track,369107,2024-12-17T12:40:30.320043Z,public,,,https://intl.minimaxi.com/protocol/terms-of-service
benk044,mooner,https://replicate.com/benk044/mooner,,18,2025-09-10T16:56:08.034433Z,public,,,
ideogram-ai,ideogram-v3-quality,https://replicate.com/ideogram-ai/ideogram-v3-quality,"The highest quality Ideogram v3 model. v3 creates images with stunning realism, creative designs, and consistent styles",1831540,2025-04-30T13:21:22.917252Z,public,,https://about.ideogram.ai/3.0,https://about.ideogram.ai/legal/api-tos
ideogram-ai,ideogram-v3-turbo,https://replicate.com/ideogram-ai/ideogram-v3-turbo,"Turbo is the fastest and cheapest Ideogram v3. v3 creates images with stunning realism, creative designs, and consistent styles",2268748,2025-04-30T13:21:08.936269Z,public,,https://about.ideogram.ai/3.0,https://about.ideogram.ai/legal/api-tos
ideogram-ai,ideogram-v3-balanced,https://replicate.com/ideogram-ai/ideogram-v3-balanced,"Balance speed, quality and cost. Ideogram v3 creates images with stunning realism, creative designs, and consistent styles",243670,2025-04-30T13:20:54.764024Z,public,,https://about.ideogram.ai/3.0,https://about.ideogram.ai/legal/api-tos
